main_district,reference_district,match_score
Mirishkor tumani,Mirishkor tumani,1.0
Taxtako‘pir tumani,Paxtakor tumani,0.7368421052631579
Nukus shahri,Nukus tumani,1.0
Qo‘shrabot tumani,Qo'shrabot tumani,0.9
Paxtachi tumani,Paxtachi tumani,1.0
Qo‘shtepa tumani,Qo'shtepa tumani,0.8888888888888888
Kegeyli tumani,Kegeyli tumani,1.0
Sharof Rashidov tumani,Sharof Rashidov tumani,1.0
Uychi tumani,Uychi tumani,1.0
Oqoltin tumani,Oqoltin tumani,1.0
Zarbdor tumani,Zarbdor tumani,1.0
Uzun tumani,Uzun tumani,1.0
Chortoq tumani,Chortoq tumani,1.0
Bulung‘ur tumani,Bulung'ur tumani,0.8888888888888888
Oqqo‘rg‘on tumani,Oqqo'rg'on tumani,0.8
Qo‘shko‘pir tumani,Qo'shko'pir tumani,0.8181818181818182
Shahrisabz tumani,Shakhrisabz tumani,0.9523809523809523
Shumanay tumani,Shumanay tumani,1.0
Taxiatosh tumani,Taxiatosh tumani,1.0
Yangiobod tumani,Yangiobod tumani,1.0
Narpay tumani,Narpay tumani,1.0
Kogon tumani,Kogon tumani,1.0
Chust tumani,Chust tumani,1.0
To‘raqo‘rg‘on tumani,To'raqo'rg'on tumani,0.7692307692307693
Bekobod tumani,Bekobod tumani,1.0
Jomboy tumani,Jomboy tumani,1.0
Yangiqo‘rg‘on tumani,Yangiqo'rg'on tumani,0.8461538461538461
Kitob tumani,Kitob tumani,1.0
Asaka tumani,Asaka tumani,1.0
Mirzacho‘l tumani,Mirzacho'l tumani,0.9
Xiva shahri,Xiva tumani,1.0
Bo‘ka tumani,Bo'ka tumani,0.8
Jarqo‘rg‘on tumani,Jarqo'rg'on tumani,0.8181818181818182
Oltiariq tumani,Oltiariq tumani,1.0
Buxoro shahri,Buxoro tumani,1.0
Yangiyer shahri,Yangiyo'l tumani,0.7058823529411765
Xo‘jaobod tumani,Xo'jaobod tumani,0.8888888888888888
Shayxontoxur tumani,Shaykhontohur tumani,0.8
Urgut tumani,Urgut tumani,1.0
Shovot tumani,Shovot tumani,1.0
Shaxrixon tumani,Shahrixon tumani,0.8888888888888888
Samarqand shahri,Samarqand tumani,1.0
Navbahor tumani,Navbahor tumani,1.0
Yangihayot tumani,Yangihayot tumani,1.0
Bo‘ston tumani,Bo'ston tumani,0.8571428571428571
Nukus tumani,Nukus tumani,1.0
Yozyovon tumani,Yozyovon tumani,1.0
Pop tumani,Pop tumani,1.0
Samarqand tumani,Samarqand tumani,1.0
Qo‘rg‘ontepa tumani,Qo'rg'ontepa tumani,0.8333333333333334
Olmazor tumani,Olmazor tumani,1.0
Bo‘zatov tumani,Bo'zatov tumani,0.875
Chinoz tumani,Chinoz tumani,1.0
Qo‘ng‘irot tumani,Qo'ng'irot tumani,0.8
Chimboy tumani,Chimboy tumani,1.0
Boyovut tumani,Boyovut tumani,1.0
Qorao‘zak tumani,Qorao'zak tumani,0.8888888888888888
Urganch tumani,Urganch tumani,1.0
Qibray tumani,Qibray tumani,1.0
Chilonzor tumani,Chilanzar tumani,0.7777777777777778
Bekobod shahri,Bekobod tumani,1.0
Termiz tumani,Termiz tumani,1.0
Yunusobod tumani,Yunusabad tumani,0.7777777777777778
Quyichirchiq tumani,Quyichirchiq tumani,1.0
Kogon shahri,Kogon tumani,1.0
Shahrisabz shahri,Shakhrisabz tumani,0.9523809523809523
Farg‘ona shahri,Farg'ona tumani,0.875
Oltinko‘l tumani,Oltinko'l tumani,0.8888888888888888
Peshku tumani,Peshku tumani,1.0
Uchtepa tumani,Uchtepa tumani,1.0
Kasbi tumani,Kasbi tumani,1.0
Jondor tumani,Jondor tumani,1.0
Tomdi tumani,Tomdi tumani,1.0
Piskent tumani,Piskent tumani,1.0
Chiroqchi tumani,Chiroqchi tumani,1.0
Marxamat tumani,Marhamat tumani,0.875
Zafarobod tumani,Zafarobod tumani,1.0
Dang‘ara tumani,Dang'ara tumani,0.875
Oltinsoy tumani,Oltinsoy tumani,1.0
Uchqo‘rg‘on tumani,Uchqo'rg'on tumani,0.8181818181818182
Beruniy tumani,Beruniy tumani,1.0
Namangan tumani,Namangan tumani,1.0
Qarshi tumani,Qarshi tumani,1.0
Baxmal tumani,Baxmal tumani,1.0
Uchquduq tumani,Uchquduq tumani,1.0
G‘uzor tumani,G'uzor tumani,0.8333333333333334
Guliston tumani,Guliston tumani,1.0
Paxtakor tumani,Paxtakor tumani,1.0
Bog‘dod tumani,Bag'dod tumani,0.7142857142857143
Kosonsoy tumani,Kosonsoy tumani,1.0
Payariq tumani,Payariq tumani,1.0
Yakkabog‘ tumani,Yakkabog' tumani,0.8888888888888888
Karmana tumani,Karmana tumani,1.0
Dehqonobod tumani,Dehqonobod tumani,1.0
Muzrabot tumani,Muzrabot tumani,1.0
Buvayda tumani,Buvayda tumani,1.0
Bog‘ot tumani,Bog'ot tumani,0.8333333333333334
Baliqchi tumani,Baliqchi tumani,1.0
Jalaquduq tumani,Jalaquduq tumani,1.0
So‘x tumani,So'x tumani,0.75
Yangibozor tumani,Yangibozor tumani,1.0
Rishton tumani,Rishton tumani,1.0
Qorako‘l tumani,Qorako'l tumani,0.875
Andijon shahri,Andijon tumani,1.0
Qarshi  shahri,Qarshi tumani,1.0
Nurota tumani,Nurota tumani,1.0
Quvasoy shahri,Quva tumani,0.7272727272727273
Romitan tumani,Romitan tumani,1.0
Izboskan tumani,Izboskan tumani,1.0
To‘rtko‘l tumani,To'rtko'l tumani,0.7777777777777778
Xazorasp tumani,Hazorasp tumani,0.875
Xiva tumani,Xiva tumani,1.0
Koson tumani,Koson tumani,1.0
Ohangaron shahri,Ohangaron tumani,1.0
Olot tumani,Olot tumani,1.0
Farg‘ona tumani,Farg'ona tumani,0.875
Termiz shahri,Termiz tumani,1.0
Xo‘jayli tumani,Xo'jayli tumani,0.875
Xatirchi tumani,Xatirchi tumani,1.0
Namangan shahri,Namangan tumani,1.0
Ohangaron tumani,Ohangaron tumani,1.0
Qiziriq tumani,Qiziriq tumani,1.0
Shofirkon tumani,Shofirkon tumani,1.0
Sariosiyo tumani,Sariosiyo tumani,1.0
Ulug‘nor tumani,Ulug'nor tumani,0.875
G‘allaorol tumani,G'allaorol tumani,0.9
Zomin tumani,Zomin tumani,1.0
Do‘stlik tumani,Do'stlik tumani,0.875
Angor tumani,Angor tumani,1.0
Sayxunobod tumani,Sayxunobod tumani,1.0
Nishon tumani,Nishon tumani,1.0
Qumqo‘rg‘on tumani,Qumqo'rg'on tumani,0.8181818181818182
Mirobod tumani,Mirobod tumani,1.0
Yangiyo‘l tumani,Yangiyo'l tumani,0.8888888888888888
Beshariq tumani,Beshariq tumani,1.0
Ishtixon tumani,Ishtixon tumani,1.0
Qamashi tumani,Qamashi tumani,1.0
Bektemir tumani,Bektemir tumani,1.0
Xovos tumani,Xovos tumani,1.0
Nurobod tumani,Nurobod tumani,1.0
Sho‘rchi tumani,Sho'rchi tumani,0.875
Toshloq tumani,Toshloq tumani,1.0
Xonqa tumani,Xonqa tumani,1.0
Xonobod shahri,Xo'jaobod tumani,0.75
Boysun tumani,Boysun tumani,1.0
Mo‘ynoq tumani,Mo'ynoq tumani,0.8571428571428571
Yuqorichirchiq tumani,Yuqorichirchiq tumani,1.0
Quva tumani,Quva tumani,1.0
Mirzo Ulug‘bek tumani,Mirzo Ulug'bek tumani,0.9285714285714286
Amudaryo tumani,Amudaryo tumani,1.0
Qorovulbozor tumani,Qorovulbozor tumani,1.0
Toshkent tumani,Tashkent tumani,0.875
Sherobod tumani,Sherobod tumani,1.0
Vobkent tumani,Vobkent tumani,1.0
Denov tumani,Denov tumani,1.0
Buloqboshi tumani,Buloqboshi tumani,1.0
Yangiariq tumani,Yangiariq tumani,1.0
O‘rtachirchiq tumani,O'rtachirchiq tumani,0.9230769230769231
Tuproqqal’a tumani,Tuproqqal'a tumani,0.9090909090909091
Buxoro tumani,Buxoro tumani,1.0
Yashnobod tumani,Yashnobod tumani,1.0
Bandixon tumani,Bandixon tumani,1.0
Toshkent shahri,Tashkent tumani,0.875
Paxtaobod tumani,Paxtaobod tumani,1.0
Pastdarg‘om tumani,Pastdarg'om tumani,0.9090909090909091
Forish tumani,Forish tumani,1.0
Urganch shahri,Urganch tumani,1.0
Andijon tumani,Andijon tumani,1.0
Oqdaryo tumani,Oqdaryo tumani,1.0
Muborak tumani,Muborak tumani,1.0
Gurlan tumani,Gurlan tumani,1.0
Bo‘stonliq tumani,Bo'stonliq tumani,0.9
Tayloq tumani,Toyloq tumani,0.8333333333333334
Angren shahri,Angor tumani,0.7272727272727273
Chirchiq shahri,Chiroqchi tumani,0.8235294117647058
Zangiota tumani,Zangiota tumani,1.0
G‘ijduvon tumani,G'ijduvon tumani,0.8888888888888888
Arnasoy tumani,Arnasoy tumani,1.0
Mingbuloq tumani,Mingbuloq tumani,1.0
Norin tumani,Norin tumani,1.0
Parkent tumani,Parkent tumani,1.0
Mirzaobod tumani,Mirzaobod tumani,1.0
Uchko‘prik tumani,Uchko'prik tumani,0.9
Furqat tumani,Furqat tumani,1.0
Qiziltepa tumani,Qiziltepa tumani,1.0
Yakkasaroy tumani,Yakkasaray tumani,0.9
Sirdaryo tumani,Sirdaryo tumani,1.0
Konimex tumani,Konimex tumani,1.0
Ellikkala tumani,Ellikqala tumani,0.8888888888888888
Qanliko‘l tumani,Qanliko'l tumani,0.8888888888888888
Sardoba tumani,Sardoba tumani,1.0
Guliston shahri,Guliston tumani,1.0
